,molecule_id,smiles,target_core,vs1,vdelta
145,chromo4690,C[Si]1(C)O[Si](C)(C)c2cc3nc4ccccc4c(-c4ccc(F)cc4)c3cc2[Si](C)(C)O1,0,3.1943,1.3302
146,chromo0149,C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,0,2.2298,0.7804
147,chromo0119,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,0,2.1118,0.1848
148,chromo3811,O=[N+]([O-])c1ccc2c(c1)-c1c3c(c4c([n+]1[B-](F)(F)O2)CCc1ccccc1-4)CCc1ccccc1-3,0,3.3724,0.8030999999999997
149,chromo2854,C(=Cc1ccncn1)c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0,2.7485,0.6238999999999999
150,chromo0271,CCCCn1c(-c2ccc(-c3nnc(-c4ccc5ccccc5c4)o3)cc2)nc2c3ccccc3c3ccccc3c21,1,3.0548,0.6438000000000001
151,chromo1163,Oc1ccccc1-c1nc2c3ccccc3c3ccccc3c2o1,0,3.6447,1.1018
152,chromo2223,COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4ccccc4c3)=C2)c1,1,3.024,0.6876000000000002
153,chromo3017,CCCCCCc1ccc2c3c(ccc2c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc([N+]2=Cc4c(ccc5cc(CCCCCC)ccc45)O[B-]2(c2ccccc2)c2ccccc2)cc1)=C3,0,2.743,0.7178
154,chromo0998,COC(=O)CCC1=CC(C#Cc2ccsc2)=[N+]2C1=Cc1c(CCC(=O)OC)cc(C#Cc3ccsc3)n1[B-]2(F)F,1,2.2718,1.1162999999999998
155,chromo5394,CC(C)(C)c1ccc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,1,3.7038,0.9765
156,chromo6447,Fc1ccc(N(c2ccc(F)cc2)c2ccc3c4cccc5c(N(c6ccc(F)cc6)c6ccc(F)cc6)ccc(c6cccc2c63)c54)cc1,0,2.3657,0.9576
157,chromo0342,O=[N+]([O-])c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,0,3.208,0.6418000000000004
