,molecule_id,SMILES,vs1_gt,vdelta_gt,vs1_xtb_gt,vdelta_xtb_gt,xtb_coordinates_path,mmff_coordinates_path,basic_coordinates_path,target_core,vs1,vdelta,vs1_xtb,vdelta_xtb,vs1_labeling,vdelta_labeling
33,chromo3109,Cc1cc2c3ccccc3oc2c2[nH]c3ccccc3c12,3.8129,0.8300999999999998,3.531178872992178,0.4281858035795071,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/basic.xyz,0,,,,,,
34,chromo1093,COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,2.3715,1.2872,2.0127625917833094,1.1423430940336825,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/basic.xyz,0,,,,,,
35,chromo2226,c1ccc2c(-c3ccc4sc5ccccc5c4c3)c3ccccc3cc2c1,3.1891,1.4249999999999998,2.910764331104029,0.9722619045182294,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/basic.xyz,1,,,,,,
36,chromo2445,CCN(CC)c1ccc(-c2cc3c(s2)c(C(=O)OC)cc(=O)n3C)cc1,2.7947,0.9812000000000004,2.8489200059460575,0.9186141768274019,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/basic.xyz,1,,,,,,
37,chromo0499,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccccc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,3.3336,0.8138000000000001,4.860229650578176,0.8341272128444737,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/basic.xyz,1,,,,,,
38,chromo4207,Cc1cccc(C)c1N1C(c2ccccc2)=Cc2ccc3ccccc3[n+]2[B-]1(F)F,3.1038,0.9934000000000004,3.843985141722549,1.1133319738835783,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/basic.xyz,0,,,,,,
39,chromo2534,CN(C)c1ccc(C2=Nc3scc[n+]3[B-](F)(F)O2)cc1,3.41,0.8997000000000002,3.7011119694279677,0.9713832414007254,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/basic.xyz,0,,,,,,
40,chromo6109,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,1.9785,1.1225,0.979439620858529,0.5534880660669126,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/basic.xyz,0,,,,,,
41,chromo4067,COc1cc(OC)cc(-c2nnc(-c3cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,3.5467,0.9627,3.0681372104199403,0.4303724172395304,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/basic.xyz,1,,,,,,
42,chromo2367,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,3.2696,0.8121,5.097222989708515,1.2294328462109154,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/basic.xyz,0,,,,,,
